出發日期,星期,出發時間,出發時段,出發機場代號,抵達時間,抵達時段,抵達機場代號,航空公司,航空聯盟,停靠站數量,停留時間,飛行時間,是否過夜,機型,機型分類,航班代碼,艙等,查詢日期,平均價格,最低價格,中位數價格,價格變異,隨機購買平均價格,最低價格剩餘天數,最低價格出現日期,筆數
2025-01-20,星期一,上午10:45,上午班機,TPE,下午1:00,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 15 分鐘,No,Boeing 777,1,CX 489,經濟艙,2025-01-19,4475,4353,4511,3691.94,4478.25,44,2024-12-07,91
2025-01-20,星期一,上午10:50,上午班機,TPE,中午12:55,下午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,0,CI 909,經濟艙,2025-01-19,3821,3577,3843,36880.75,3922.5,75,2024-11-06,91
2025-01-20,星期一,上午10:50,上午班機,TPE,中午12:50,下午抵達,HKG,Greater Bay Airlines,0,直達航班。,Non-stop,2 小時,No,Boeing 737,0,HB 703,經濟艙,2025-01-19,2477,2093,2291,158828.53,2332.25,44,2024-12-07,91
2025-01-20,星期一,上午11:55,上午班機,TPE,下午1:55,下午抵達,HKG,香港航空,0,直達航班。,Non-stop,2 小時,No,Airbus A330,1,HX 253,經濟艙,2025-01-19,3279,2771,3031,5223203.57,3001.5,44,2024-12-07,91
2025-01-20,星期一,上午8:05,早晨班機,TPE,上午10:05,上午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,No,Airbus A330,1,BR 851,經濟艙,2025-01-19,3948,3700,3967,34230.0,3961.25,75,2024-11-06,91
2025-01-20,星期一,上午8:05,早晨班機,TPE,上午10:05,上午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,No,Airbus A321neo,0,CI 903,經濟艙,2025-01-19,3821,3577,3843,36880.75,3984.75,75,2024-11-06,91
2025-01-20,星期一,上午8:20,早晨班機,TPE,上午10:30,上午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 10 分鐘,No,Boeing 777,1,CX 407,經濟艙,2025-01-19,4475,4353,4511,3691.94,4447.25,44,2024-12-07,91
2025-01-20,星期一,上午9:50,上午班機,TPE,上午11:50,上午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,No,Airbus A321,0,BR 867,經濟艙,2025-01-19,3948,3700,3967,34230.0,3855.25,75,2024-11-06,91
2025-01-20,星期一,上午9:50,上午班機,TPE,中午12:05,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 15 分鐘,No,Airbus A321neo,0,CX 499,經濟艙,2025-01-19,4475,4353,4511,3691.94,4466.75,44,2024-12-07,91
2025-01-20,星期一,下午1:20,下午班機,TPE,下午3:25,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330,1,CX 495,經濟艙,2025-01-19,4650,4396,4519,127951.9,4743.0,19,2025-01-01,91
2025-01-20,星期一,下午2:05,下午班機,TPE,下午4:05,下午抵達,HKG,香港快運航空,3,直達航班。,Non-stop,2 小時,No,Airbus A320neo,0,UO 111,經濟艙,2025-01-13,1879,1340,1678,377249.69,2328.75,61,2024-11-20,85
2025-01-20,星期一,下午2:25,下午班機,TPE,下午4:25,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,No,Airbus A321,0,BR 855,經濟艙,2025-01-19,3948,3700,3967,34230.0,3811.0,75,2024-11-06,91
